"uniqueID","division","mpFrom","mpTo","phid","deathDate"
"Kerr1952","Denison",1987-07-11,2010-07-19,"RH4",NA
"Khalil1973","Wills",2016-07-02,NA,"101351",NA
"King1952","Wentworth",2001-11-10,2004-10-09,"00AMQ",NA
"King1966","Ballarat",2001-11-10,NA,"00AMR",NA
"King1973","Brand",2016-07-02,NA,"102376",NA
"Lamb1972","Longman",2016-07-02,2018-05-10,"265975",NA
"Lamb1972","Longman",2018-07-28,2019-05-18,"265975",NA
"Laming1966","Bowman",2004-10-09,NA,"E0H",NA
"Landry1962","Capricornia",2013-09-07,NA,"249764",NA
"Latham1961","Werriwa",1994-01-29,2005-01-21,"K26",NA
"Laundy1971","Reid",2013-09-07,2019-04-11,"247130",NA
"Lawler1961","Parkes",1998-10-03,2001-10-08,"834",NA
"Lawrence1948","Fremantle",1994-03-12,2007-10-17,"XS4",NA
"Lee1957","Dobell",1984-12-01,2001-11-10,"MG4",NA
"Leeser1976","Berowra",2016-07-02,NA,"109556",NA
"Leigh1972","Fenner",2016-07-02,NA,"BU8",NA
"Leigh1972","Fraser",2010-08-21,2016-07-02,"BU8",NA
"Ley1961","Farrer",2001-11-10,NA,"00AMN",NA
"Lieberman1938","Indi",1993-03-13,2001-10-08,"XU5",NA
"Lindsay1944","Herbert",1996-03-02,2010-07-19,"HK6",NA
"Littleproud1976","Maranoa",2016-07-02,NA,"265585",NA
"Liu1964","Chisholm",2019-05-18,NA,"282918",NA
"Livermore1969","Capricornia",1998-10-03,2013-08-05,"83A",NA
"Lloyd1954","Robertson",1996-03-02,2007-11-24,"IK6",NA
"Lyons1953","Bass",2010-08-21,2013-09-07,"M38",NA
"Macfarlane1955","Groom",1998-10-03,2016-05-09,"WN6",NA
"Macklin1953","Jagajaga",1996-03-02,2019-04-11,"PG6",NA
"MacTiernan1953","Perth",2013-09-07,2016-05-09,"L6P",NA
"Marek1964","Capricornia",1996-03-02,1998-10-03,"LK6",NA
"Marino1954","Forrest",2007-11-24,NA,"HWP",NA
"Markus1958","Greenway",2004-10-09,2010-08-21,"E07",NA
"Markus1958","Macquarie",2010-08-21,2016-07-02,"E07",NA
"Marles1967","Corio",2007-11-24,NA,"HWQ",NA
"Martin1948","Cunningham",1993-03-13,2002-08-16,"8I4",NA
"Martin1977","Reid",2019-05-18,NA,"282982",NA
"Matheson1958","Macarthur",2010-08-21,2016-07-02,"M2V",NA
"May1950","McPherson",1998-10-03,2010-07-19,"83B",NA
"McArthur1937","Corangamite",1984-02-18,2007-11-24,"VH4",NA
"McBain1982","Eden-Monaro",2020-07-04,NA,"281988",NA
"McBride1975","Dobell",2016-07-02,NA,"248353",NA
"McClelland1958","Barton",1996-03-02,2013-08-05,"JK6",NA
"McCormack1964","Riverina",2010-08-21,NA,"219646",NA
"McDougall1946","Griffith",1996-03-02,1998-10-03,"KK6",NA
"McFarlane1944","Stirling",1998-10-03,2004-10-09,"83C",NA
"McGauran1955","Gippsland",1983-03-05,2008-04-09,"XH4",NA
"McGowan1953","Indi",2013-09-07,2019-04-11,"123674",NA
"McIntosh1977","Lindsay",2019-05-18,NA,"281513",NA
"McKew1953","Bennelong",2007-11-24,2010-08-21,"BP4",NA
"McLachlan1936","Barker",1990-03-24,1998-08-31,"HT4",NA
"McLeay1945","Watson",1993-03-13,2004-08-31,"4I4",NA
"McMullan1947","Canberra",1996-03-02,1998-10-03,"5I4",NA
"McMullan1947","Fraser",1998-10-03,2010-07-19,"5I4",NA
"McNamara1964","Dobell",2013-09-07,2016-07-02,"241589",NA
"McVeigh1965","Groom",2016-07-02,2020-09-18,"125865",NA
"Melham1954","Banks",1990-03-24,2013-09-07,"4T4",NA
"Miles1947","Braddon",1984-12-01,1998-10-03,"BI4",NA
"Mirabella1968","Indi",2001-11-10,2013-09-07,"00AMU",NA
"MitchellBrian1967","Lyons",2016-07-02,NA,"129164",NA
"MitchellRobert1967","McEwen",2010-08-21,NA,"M3E",NA
"Moore1936","Ryan",1975-12-13,2001-02-05,"EI4",NA
"Morris1932","Shortland",1972-12-02,1998-08-31,"HI4",NA
"Morris1940","Newcastle",1983-03-05,2001-10-08,"FI4",NA
"Morrison1968","Cook",2007-11-24,NA,"E3L",NA
"Morton1981","Tangney",2016-07-02,NA,"265931",NA
"Mossfield1935","Greenway",1996-03-02,2004-08-31,"MK6",NA
"Moylan1944","Pearce",1993-03-13,2013-08-05,"4V5",NA
"Mulino1969","Fraser",2019-05-18,NA,"132880",NA
"Murphy1950","Lowe",1998-10-03,2010-08-21,"83D",NA
"Murphy1950","Reid",2010-08-21,2013-09-07,"83D",NA
"Murphy1973","Dunkley",2019-05-18,NA,"133646",NA
"Mutch1956","Cook",1996-03-02,1998-08-31,"NK6",NA
"Nairn1951","Eden-Monaro",1996-03-02,2007-11-24,"OK6",NA
"Neal1963","Robertson",2007-11-24,2010-07-19,"B36",NA
"Nehl1934","Cowper",1984-12-01,2001-10-08,"AE4",NA
"Nelson1958","Bradfield",1996-03-02,2009-10-19,"RW5",NA
"Neumann1961","Blair",2007-11-24,NA,"HVO",NA
"Neville1940","Hinkler",1993-03-13,2013-08-05,"KV5",2019-01-01
"Nikolic1961","Bass",2013-09-07,2016-07-02,"137174",NA
"Nugent1938","Aston",1990-03-24,2001-04-24,"UT4",2001-04-24
"Oakeshott1969","Lyne",2008-09-06,2013-08-05,"IYS",NA
"OBrien1972","Wide Bay",2016-07-02,NA,"265991",NA
"OBrien1974","Fairfax",2016-07-02,NA,"138932",NA
"OByrne1968","Bass",1998-10-03,2004-10-09,"84S",NA
"OConnor1947","Corio",1993-03-13,2007-11-24,"WU5",NA
"OConnor1962","Burke",2001-11-10,2004-10-09,"00AN3",NA
"OConnor1962","Gorton",2004-10-09,NA,"00AN3",NA
"ODowd1950","Flynn",2010-08-21,NA,"139441",NA
"ODwyer1977","Higgins",2009-12-05,2019-04-11,"LKU",NA
"OKeefe1947","Burke",1984-12-01,2001-10-08,"CE4",NA
"ONeil1980","Hotham",2013-09-07,NA,"140590",NA
"ONeill1961","Robertson",2010-08-21,2013-09-07,"140651",NA
"Organ1956","Cunningham",2002-10-19,2004-10-09,"BNL",NA
"OToole1956","Herbert",2016-07-02,2019-05-18,"249908",NA
"Owens1958","Parramatta",2004-10-09,NA,"E09",NA
"Palmer1954","Fairfax",2013-09-07,2016-05-09,"LQR",NA
"Parke1966","Fremantle",2007-11-24,2016-05-09,"HWR",NA
"Pasin1977","Barker",2013-09-07,NA,"240756",NA
"Payne1982","Canberra",2019-05-18,NA,"144732",NA
"Pearce1963","Aston",2001-07-14,2010-07-19,"A8W",NA
