"uniqueID","phid","surname","firstName","displayName","gender","title","prefix","suffix","electorate","party","deathDate","form1","form2","form3","form4","form5"
"Breen1898","JS9","Breen","John","Breen, John","male","Mr",NA,NA,"Calare","Australian Labor Party",1966-02-05,"Mr John Breen","Mr Breen","Mr JOHN BREEN","Mr BREEN","Mr John BREEN"
"Brennan1873","JSC","Brennan","Francis","Brennan, Frank","male","Mr","the Hon.",NA,"Batman","Australian Labor Party",1950-11-06,"Mr Francis Brennan","Mr Brennan","Mr FRANCIS BRENNAN","Mr BRENNAN","Mr Francis BRENNAN"
"Brereton1946","5T4","Brereton","Laurence","Brereton, Laurie","male","Mr","the Hon.",NA,"Kingsford Smith","Australian Labor Party",NA,"Mr Laurence Brereton","Mr Brereton","Mr LAURENCE BRERETON","Mr BRERETON","Mr Laurence BRERETON"
"BridgesMaxwell1929","JSE","Bridges-Maxwell","Crawford","Bridges-Maxwell, William","male","Mr",NA,NA,"Robertson","Liberal Party of Australia",1992-04-15,"Mr Crawford Bridges-Maxwell","Mr Bridges-Maxwell","Mr CRAWFORD BRIDGES-MAXWELL","Mr BRIDGES-MAXWELL","Mr Crawford BRIDGES-MAXWELL"
"Briggs1977","IYU","Briggs","Jamie","Briggs, Jamie","male","Mr","the Hon.",NA,"Mayo","Liberal Party of Australia",NA,"Mr Jamie Briggs","Mr Briggs","Mr JAMIE BRIGGS","Mr BRIGGS","Mr Jamie BRIGGS"
"Brimblecombe1898","JSG","Brimblecombe","Wilfred","Brimblecombe, Wilfred","male","Mr",NA,"CBE","Maranoa","Australian Country Party",1973-09-14,"Mr Wilfred Brimblecombe","Mr Brimblecombe","Mr WILFRED BRIMBLECOMBE","Mr BRIMBLECOMBE","Mr Wilfred BRIMBLECOMBE"
"Broad1975","30379","Broad","Andrew","Broad, Andrew","male","Mr","the Hon.",NA,"Mallee","The Nationals",NA,"Mr Andrew Broad","Mr Broad","Mr ANDREW BROAD","Mr BROAD","Mr Andrew BROAD"
"Broadbent1950","MT4","Broadbent","Russell","Broadbent, Russell","male","Mr",NA,NA,"Monash","Liberal Party of Australia",NA,"Mr Russell Broadbent","Mr Broadbent","Mr RUSSELL BROADBENT","Mr BROADBENT","Mr Russell BROADBENT"
"Brodtmann1963","30540","Brodtmann","Gai","Brodtmann, Gai","female","Ms|Mrs",NA,NA,"Canberra","Australian Labor Party",NA,"(Ms|Mrs) Gai Brodtmann","(Ms|Mrs) Brodtmann","(Ms|Mrs) GAI BRODTMANN","(Ms|Mrs) BRODTMANN","(Ms|Mrs) Gai BRODTMANN"
"Brough1961","2K6","Brough","Malcolm","Brough, Mal","male","Mr","the Hon.",NA,"Fisher","Liberal Party of Australia",NA,"Mr Malcolm Brough","Mr Brough","Mr MALCOLM BROUGH","Mr BROUGH","Mr Malcolm BROUGH"
"Brown1843","JSK","Brown","Joseph","Brown, Joseph","male","Mr",NA,NA,"Indi","Liberal Party (Commonwealth)",1925-09-28,"Mr Joseph Brown","Mr Brown","Mr JOSEPH BROWN","Mr BROWN","Mr Joseph BROWN"
"Brown1861","JSM","Brown","Thomas","Brown, Thomas","male","Mr","the Hon.",NA,"Calare","Australian Labor Party",1934-03-23,"Mr Thomas Brown","Mr Brown","Mr THOMAS BROWN","Mr BROWN","Mr Thomas BROWN"
