"fedchamb_flag","n_name.id","n_electorate","n_party","n_names","date"
1,26,28,5,28,2016-02-24
0,73,73,6,77,2016-02-25
1,31,32,5,32,2016-02-25
0,82,81,5,84,2016-02-29
1,47,46,4,46,2016-02-29
0,74,74,5,85,2016-03-01
0,82,83,6,92,2016-03-02
1,21,21,4,21,2016-03-02
0,76,76,6,82,2016-03-03
1,35,35,5,35,2016-03-03
0,73,76,7,80,2016-03-15
0,75,75,5,80,2016-03-16
1,37,37,5,37,2016-03-16
0,70,70,6,78,2016-03-17
1,39,39,5,39,2016-03-17
0,81,83,7,92,2016-04-18
0,51,51,4,61,2016-04-19
0,78,79,6,83,2016-05-02
1,49,48,6,51,2016-05-02
0,65,66,7,71,2016-05-03
0,79,81,6,85,2016-05-04
1,31,31,4,32,2016-05-04
0,71,73,4,82,2016-05-05
1,29,30,5,30,2016-05-05
0,14,14,4,15,2016-08-30
0,66,67,5,71,2016-08-31
0,66,66,6,70,2016-09-01
0,84,85,6,86,2016-09-12
1,44,44,4,44,2016-09-12
0,62,63,7,70,2016-09-13
0,66,69,7,72,2016-09-14
1,22,22,4,22,2016-09-14
0,73,74,6,77,2016-09-15
1,30,31,5,32,2016-09-15
0,73,72,6,74,2016-10-10
1,69,70,4,70,2016-10-10
0,74,75,5,82,2016-10-11
1,24,26,4,26,2016-10-11
0,72,74,5,78,2016-10-12
1,22,24,4,25,2016-10-12
0,71,72,4,76,2016-10-13
1,24,25,4,25,2016-10-13
0,84,83,6,86,2016-10-17
1,55,56,5,56,2016-10-17
0,66,68,6,75,2016-10-18
1,35,36,4,37,2016-10-18
0,80,83,4,86,2016-10-19
1,53,56,5,56,2016-10-19
0,69,70,5,73,2016-10-20
1,27,29,3,29,2016-10-20
0,94,94,7,95,2016-11-07
1,58,59,6,60,2016-11-07
0,74,75,5,81,2016-11-08
1,31,32,3,33,2016-11-08
0,84,85,7,87,2016-11-09
1,20,21,5,21,2016-11-09
0,78,78,5,82,2016-11-10
1,30,31,3,32,2016-11-10
0,86,87,5,89,2016-11-21
1,72,75,6,75,2016-11-21
0,65,66,6,70,2016-11-22
1,31,31,5,31,2016-11-22
0,84,85,7,88,2016-11-23
1,48,49,4,49,2016-11-23
0,68,69,6,75,2016-11-24
1,32,33,4,33,2016-11-24
0,85,85,7,93,2016-11-28
1,62,64,6,64,2016-11-28
0,78,80,6,85,2016-11-29
1,22,23,3,24,2016-11-29
0,75,76,7,79,2016-11-30
1,32,33,4,33,2016-11-30
0,58,59,6,72,2016-12-01
1,36,36,4,36,2016-12-01
0,84,85,6,89,2017-02-07
1,25,26,3,27,2017-02-07
0,69,70,6,75,2017-02-08
1,36,36,5,36,2017-02-08
0,69,68,4,74,2017-02-09
1,35,37,3,37,2017-02-09
0,73,76,7,79,2017-02-13
1,56,60,5,60,2017-02-13
0,72,72,7,77,2017-02-14
1,31,33,3,33,2017-02-14
0,77,82,6,88,2017-02-15
1,28,29,4,29,2017-02-15
0,75,76,5,84,2017-02-16
1,37,39,5,39,2017-02-16
0,81,82,6,85,2017-02-27
1,64,65,5,65,2017-02-27
0,78,77,6,89,2017-02-28
1,31,32,4,32,2017-02-28
0,79,81,6,88,2017-03-01
1,39,41,5,41,2017-03-01
0,66,68,4,80,2017-03-02
1,21,21,3,23,2017-03-02
0,93,95,6,95,2017-03-20
1,69,70,5,71,2017-03-20
0,79,79,6,83,2017-03-21
1,28,29,4,29,2017-03-21
0,81,82,4,90,2017-03-22
1,30,31,4,31,2017-03-22
0,69,70,5,76,2017-03-23
1,23,24,2,24,2017-03-23
0,78,79,6,82,2017-03-27
1,69,70,5,70,2017-03-27
0,81,83,5,98,2017-03-28
1,22,22,4,22,2017-03-28
0,80,80,6,87,2017-03-29
1,36,37,4,37,2017-03-29
0,74,74,6,80,2017-03-30
1,25,26,3,28,2017-03-30
0,70,72,5,75,2017-05-09
0,73,73,5,78,2017-05-10
1,30,30,4,30,2017-05-10
0,72,72,5,74,2017-05-11
1,41,44,4,44,2017-05-11
0,87,87,7,92,2017-05-22
1,69,69,5,69,2017-05-22
0,64,65,6,72,2017-05-23
1,5,5,2,6,2017-05-23
0,76,76,5,81,2017-05-24
1,34,34,5,34,2017-05-24
0,74,74,5,81,2017-05-25
1,22,23,3,23,2017-05-25
0,86,87,7,88,2017-05-29
1,55,58,4,58,2017-05-29
0,73,73,6,75,2017-05-30
1,21,23,4,23,2017-05-30
0,78,79,4,84,2017-05-31
1,48,51,5,52,2017-05-31
0,78,79,5,86,2017-06-01
1,33,35,4,35,2017-06-01
0,75,78,7,82,2017-06-13
1,25,26,3,26,2017-06-13
0,85,85,5,88,2017-06-14
1,53,55,5,55,2017-06-14
0,71,72,5,75,2017-06-15
1,28,29,3,30,2017-06-15
0,81,81,7,84,2017-06-19
1,54,54,4,54,2017-06-19
0,66,66,5,72,2017-06-20
1,36,37,3,37,2017-06-20
0,79,80,4,88,2017-06-21
1,54,57,5,57,2017-06-21
0,64,64,5,71,2017-06-22
1,34,36,4,36,2017-06-22
0,87,87,6,90,2017-08-08
1,31,32,4,32,2017-08-08
0,81,81,6,86,2017-08-09
1,35,36,4,36,2017-08-09
0,75,75,5,82,2017-08-10
1,30,30,3,30,2017-08-10
0,77,78,7,80,2017-08-14
1,74,73,5,73,2017-08-14
0,69,70,6,77,2017-08-15
1,28,30,3,30,2017-08-15
0,82,83,6,90,2017-08-16
1,35,38,4,39,2017-08-16
0,70,69,5,72,2017-08-17
1,26,26,3,27,2017-08-17
0,76,77,7,78,2017-09-04
1,68,70,6,70,2017-09-04
0,80,80,6,85,2017-09-05
1,36,37,4,38,2017-09-05
0,80,82,4,85,2017-09-06
1,32,31,5,31,2017-09-06
0,69,69,5,75,2017-09-07
1,30,30,5,30,2017-09-07
0,83,83,7,84,2017-09-11
